ID,Treatment,distance,intensity
1572,ground,65,95.2
1572,ground,66,96.5556
1572,ground,67,97.6444
1572,ground,68,98.6889
1572,ground,69,99.2444
1572,ground,70,99.0444
1572,ground,71,98.5333
1572,ground,72,98.2889
1572,ground,73,98.1556
1572,ground,74,98.2889
1572,ground,75,98.8
1572,ground,76,99.4667
1572,ground,77,99.8444
1572,ground,78,100.6
1572,ground,79,100.7556
1572,ground,80,100.4889
1572,ground,81,100.2889
1572,ground,82,100.2444
1572,ground,83,100.2
1572,ground,84,99.4444
1572,ground,85,98.2667
1572,ground,86,96.9778
1572,ground,87,95.5111
1572,ground,88,94.4444
1572,ground,89,94.4889
1572,ground,90,94.4667
1572,ground,91,93.5111
1572,ground,92,93.1778
1572,ground,93,93.0889
1572,ground,94,92.6
1572,ground,95,91.8
1572,ground,96,91.5778
1572,ground,97,91.1556
1572,ground,98,90.4444
1572,ground,99,90.3778
1572,ground,100,90.1333
1572,ground,101,88.8667
1572,ground,102,87.4444
1572,ground,103,86.4444
1572,ground,104,85.1111
1572,ground,105,83.3333
1572,ground,106,81.7556
1572,ground,107,80.4889
